,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,girl's,5.27,172,27,0.8406,0.1594
1,kissed,4.94,382,64,0.8316,0.1684
2,governess,4.85,293,50,0.829,0.171
3,naughty,4.53,312,57,0.8192,0.1808
4,iris,4.35,184,35,0.8131,0.1869
5,dress,4.33,952,182,0.8123,0.1877
6,she will,4.32,219,42,0.8119,0.1881
7,charming,4.01,223,46,0.8005,0.1995
8,teacher,3.89,202,43,0.7954,0.2046
9,neat,3.65,185,42,0.7847,0.2153
10,downstairs,3.62,311,71,0.7838,0.2162
11,pretty,3.5,1221,289,0.7776,0.2224
12,pink,3.39,209,51,0.7723,0.2277
13,clasped,3.38,192,47,0.7717,0.2283
14,bedroom,3.32,289,72,0.7686,0.2314
15,upstairs,3.14,247,65,0.7587,0.2413
