,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,monk,43.02,5,178,0.0227,0.9773
1,oxford,17.75,13,191,0.0533,0.9467
2,comrade,16.46,16,218,0.0573,0.9427
3,he would,9.26,18,138,0.0974,0.9026
4,sword,8.04,26,173,0.1106,0.8894
5,lad,7.74,52,333,0.1144,0.8856
6,peril,6.2,60,308,0.1388,0.8612
7,he will,6.18,26,133,0.1392,0.8608
8,holy,6.15,33,168,0.1398,0.8602
9,youth,5.92,70,343,0.1445,0.8555
10,indian,5.77,35,167,0.1478,0.8522
11,king's,5.5,38,173,0.1538,0.8462
12,enemy,4.81,46,183,0.1722,0.8278
13,rode,4.6,36,137,0.1786,0.8214
14,tail,4.51,48,179,0.1816,0.8184
15,battle,4.33,58,208,0.1875,0.8125
16,scarce,4.21,66,230,0.1919,0.8081
17,soldier,4.08,93,314,0.1969,0.8031
18,blood,4.06,72,242,0.1976,0.8024
19,coat,3.88,66,212,0.2049,0.7951
20,royal,3.82,50,158,0.2075,0.7925
21,forth,3.8,138,434,0.2083,0.7917
22,city,3.72,127,391,0.2118,0.7882
23,learned,3.72,93,286,0.212,0.788
24,fellow,3.27,152,411,0.2343,0.7657
25,methinks,3.15,61,159,0.241,0.759
26,amongst,3.07,102,259,0.2458,0.7542
27,blow,3.03,65,163,0.2481,0.7519
