,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,ton,25.33,79,14,0.962,0.038
1,hull,22.84,173,34,0.958,0.042
2,barque,11.32,111,44,0.9188,0.0812
3,painted,11.3,73,29,0.9187,0.0813
4,broadside,10.14,174,77,0.9103,0.0897
5,craft,10.13,537,238,0.9101,0.0899
6,tack,9.38,138,66,0.9037,0.0963
7,leeward,9.27,126,61,0.9026,0.0974
8,spray,9.26,66,32,0.9025,0.0975
9,rigged,8.98,62,31,0.8998,0.1002
10,keel,8.98,60,30,0.8998,0.1002
11,brigantine,8.81,104,53,0.898,0.102
12,hove,8.31,100,54,0.8926,0.1074
13,felucca,8.23,77,42,0.8916,0.1084
14,windward,8.19,135,74,0.8912,0.1088
15,canvas,8.04,308,172,0.8893,0.1107
16,heading,7.95,62,35,0.8883,0.1117
17,crest,7.75,57,33,0.8857,0.1143
18,pounder,7.71,79,46,0.8852,0.1148
19,topgallant,7.51,92,55,0.8825,0.1175
20,starboard,7.38,189,115,0.8806,0.1194
21,topsail,7.37,151,92,0.8805,0.1195
22,knot,7.25,113,70,0.8787,0.1213
23,mast,7.08,268,170,0.8762,0.1238
24,frigate,6.93,139,90,0.8739,0.1261
25,steering,6.69,85,57,0.87,0.13
26,topmast,6.61,78,53,0.8685,0.1315
27,swell,6.52,61,42,0.867,0.133
28,reef,6.35,75,53,0.864,0.136
29,schooner,6.24,339,244,0.8618,0.1382
30,beam,5.98,100,75,0.8568,0.1432
31,afloat,5.83,61,47,0.8535,0.1465
32,breeze,5.79,205,159,0.8527,0.1473
33,helm,5.61,135,108,0.8487,0.1513
34,hoisted,5.43,75,62,0.8445,0.1555
35,sweeping,5.43,52,43,0.8444,0.1556
36,cargo,5.3,98,83,0.8413,0.1587
37,stern,5.15,271,236,0.8375,0.1625
38,vessel,5.07,355,314,0.8354,0.1646
39,sail,4.98,550,496,0.8327,0.1673
40,blowing,4.8,61,57,0.8277,0.1723
41,wreck,4.8,123,115,0.8276,0.1724
42,foam,4.64,60,58,0.8228,0.1772
43,swept,4.59,139,136,0.821,0.179
44,chase,4.49,99,99,0.8178,0.1822
45,bow,4.47,335,336,0.8173,0.1827
46,maid,4.41,53,54,0.815,0.185
47,sailing,4.34,89,92,0.8128,0.1872
48,speed,4.22,191,203,0.8085,0.1915
49,heave,4.21,60,64,0.808,0.192
