,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,jungle,8.91,6,240,0.1009,0.8991
1,coat,6.96,9,281,0.1257,0.8743
2,comrade,5.05,12,272,0.1653,0.8347
3,rifle,4.81,12,259,0.1721,0.8279
4,knife,4.65,21,438,0.1771,0.8229
5,law,4.42,13,258,0.1844,0.8156
6,study,4.41,20,396,0.1848,0.8152
7,chest,4.14,14,260,0.1946,0.8054
8,pocket,4.04,35,635,0.1983,0.8017
9,boot,3.91,13,228,0.2038,0.7962
10,school,3.68,41,678,0.2135,0.7865
11,fellow,3.57,98,1571,0.2187,0.7813
12,shouted,3.48,35,546,0.2234,0.7766
13,pistol,3.32,19,283,0.2316,0.7684
14,beast,3.1,20,278,0.2441,0.7559
15,chap,3.03,19,258,0.2484,0.7516
