,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,sword,9.97,6,98,0.0912,0.9088
1,sailor,6.89,7,79,0.1268,0.8732
2,rode,5.95,8,78,0.1439,0.8561
3,fellow,5.78,36,341,0.1475,0.8525
4,miller,4.88,13,104,0.17,0.83
5,lad,4.45,21,153,0.1836,0.8164
6,mill,4.4,14,101,0.1851,0.8149
7,coat,4.04,16,106,0.1983,0.8017
8,royal,3.87,12,76,0.2055,0.7945
9,boat,3.82,15,94,0.2073,0.7927
10,stable,3.71,13,79,0.2124,0.7876
11,blood,3.7,17,103,0.2129,0.7871
12,prisoner,3.54,15,87,0.2203,0.7797
13,brave,3.51,20,115,0.2218,0.7782
14,castle,3.25,31,165,0.2354,0.7646
