,word,ratio,f_corpus raw count,m_corpus raw count,f_corpus percentage,m_corpus percentage
0,study,9.73,6,247,0.0932,0.9068
1,comrade,9.41,5,199,0.0961,0.9039
2,pistol,8.8,4,149,0.102,0.898
3,pipe,7.44,11,346,0.1186,0.8814
4,hero,5.75,12,292,0.1481,0.8519
5,fight,5.12,12,260,0.1634,0.8366
6,guide,4.82,8,163,0.1719,0.8281
7,success,4.73,7,140,0.1746,0.8254
8,coat,4.34,11,202,0.1872,0.8128
9,shout,4.02,10,170,0.1993,0.8007
10,hardy,3.96,13,218,0.2015,0.7985
11,fellow,3.6,59,899,0.2173,0.7827
12,school,3.55,52,782,0.2196,0.7804
13,lieutenant,3.48,14,206,0.2233,0.7767
14,sword,3.4,13,187,0.2273,0.7727
15,leigh,3.38,10,143,0.2283,0.7717
16,term,3.19,12,162,0.2386,0.7614
17,wounded,3.19,10,135,0.2386,0.7614
18,hit,3.17,10,134,0.24,0.76
19,enemy,3.15,22,293,0.2411,0.7589
20,fort,3.07,14,182,0.2455,0.7545
21,chief,3.02,29,371,0.2485,0.7515
