emotion,female_scores,male_scores
fear,0.06913771968985148,0.0841022697115838
anger,0.0539080863903933,0.06166291675029231
trust,0.12514625789634387,0.12460807903046721
surprise,0.053423863961350834,0.056416322385680236
positive,0.21059372309286722,0.20686510771788397
negative,0.14442668466335948,0.1494979214158592
sadness,0.07908966000799467,0.075954791132193
disgust,0.04290954310304122,0.04158051095555588
joy,0.10843664069960664,0.08944787700746215
anticipation,0.11292782049519129,0.10986420389302223
