ff_sample,fm_sample,mf_sample,mm_sample,ff_comparative_sample,mf_comparative_sample,fm_comparative_sample,mm_comparative_sample,f_gender_sample,m_gender_sample
-0.19999999999999998,-0.041666666666666664,-0.1875,-0.25,-0.1875,-0.9,-1.0,-0.06666666666666667,-0.125,-0.02777777777777779
-0.21875,-0.1329166666666667,-0.5174999999999998,-0.4,-0.018518518518518528,-0.028819444444444446,-0.041666666666666664,-0.21666666666666667,-0.4,-0.1
-0.19583333333333333,-0.3125,-0.12187500000000001,-0.4,-0.04652777777777778,-0.175,-0.5,-0.25,-0.1875,-0.10000000000000003
-1.0,-0.020833333333333325,-0.09583333333333333,-0.2,-0.0125,-0.25,-0.475,-0.024999999999999994,-0.040999999999999995,-0.30000000000000004
-0.234375,-0.09375,-0.3666666666666667,-0.09313186813186812,-0.025,-0.0625,-0.1,-0.14285714285714285,-0.1875,-0.4
-0.09583333333333334,-0.6,-0.125,-0.08333333333333333,-0.12638888888888888,-0.4,-0.22000000000000003,-0.075,-0.25625,-0.6875
-0.1921875,-0.5,-0.09999999999999999,-0.25,-0.25,-0.3,-0.15555555555555559,-0.13333333333333333,-0.55,-0.1
-0.084375,-0.05,-0.0625,-0.0106060606060606,-0.1,-0.4,-0.15555555555555559,-0.19583333333333333,-0.2,-0.13333333333333333
-0.19444444444444448,-0.021875000000000006,-0.20000000000000004,-0.13333333333333333,-0.1,-0.037499999999999985,-0.4774999999999999,-0.05555555555555555,-0.03181818181818183,-0.2
-0.125,-0.0888888888888889,-0.2,-0.2,-0.2,-0.09111111111111111,-0.14123015873015873,-0.25,-0.65,-0.01377551020408164
-0.1875,-0.025,-0.04999999999999999,-0.040000000000000015,-0.2,-0.0325,-0.09218749999999998,-0.15555555555555559,-0.0625,-0.6
-0.2722222222222222,-0.08333333333333333,-0.16666666666666666,-0.2,-0.3,-0.15,-0.10416666666666666,-0.4,-0.45,-0.8
-0.02500000000000001,-0.1875,-0.07692307692307693,-0.21875,-0.0325,-0.013888888888888902,-0.1875,-0.006249999999999999,-0.20625,-0.13333333333333333
-0.1,-0.25,-0.09999999999999992,-0.17499999999999996,-0.05,-0.1875,-0.375,-0.375,-0.1875,-0.16666666666666666
-0.15,-0.024999999999999998,-0.15625,-0.07013888888888889,-0.21666666666666665,-0.22916666666666666,-0.15714285714285714,-0.5,-0.20277777777777778,-0.13
-0.10708333333333334,-0.30000000000000004,-0.033333333333333326,-0.21875,-0.5,-0.2,-0.4,-0.018518518518518528,-0.3,-0.3333333333333333
-0.21851851851851853,-0.06388888888888888,-0.0425,-0.3,-0.25,-0.2,-0.1425925925925926,-0.30000000000000004,-0.16666666666666666,-0.14791666666666667
-0.4,-0.08,-0.05,-0.03888888888888889,-0.09999999999999999,-0.1875,-0.625,-0.3125,-0.0625,-0.018518518518518528
-0.09375,-0.3333333333333333,-0.09375,-0.1625,-0.6999999999999998,-0.07142857142857142,-0.2625,-0.05,-0.36999999999999994,-0.26666666666666666
-0.15555555555555559,-0.22916666666666669,-0.0975,-0.05611111111111111,-0.12125,-0.15555555555555559,-0.5,-0.01714285714285712,-0.3125,-0.15
